week,group,mouse,weight,sex
65,group 3,130,38,female
66,group 3,130,38,female
67,group 3,130,36.4,female
68,group 3,130,37.2,female
69,group 3,130,37.5,female
70,group 3,130,36.4,female
71,group 3,130,36.6,female
72,group 3,130,38.8,female
73,group 3,130,34,female
1,group 3,131,15.8,female
2,group 3,131,18.9,female
3,group 3,131,19.3,female
4,group 3,131,20.6,female
5,group 3,131,20.3,female
6,group 3,131,22,female
7,group 3,131,24,female
8,group 3,131,23.3,female
9,group 3,131,25,female
10,group 3,131,25.3,female
11,group 3,131,24.1,female
12,group 3,131,27.2,female
13,group 3,131,24.9,female
14,group 3,131,26,female
15,group 3,131,23.7,female
16,group 3,131,24.5,female
17,group 3,131,25.3,female
18,group 3,131,27.6,female
19,group 3,131,27,female
20,group 3,131,28.6,female
21,group 3,131,28.4,female
22,group 3,131,31.1,female
23,group 3,131,30.5,female
24,group 3,131,30.4,female
25,group 3,131,29.9,female
26,group 3,131,32.9,female
27,group 3,131,33.9,female
28,group 3,131,32.8,female
29,group 3,131,33.9,female
30,group 3,131,32,female
31,group 3,131,33.2,female
32,group 3,131,34.4,female
33,group 3,131,34,female
34,group 3,131,33.3,female
35,group 3,131,33.5,female
36,group 3,131,33.3,female
37,group 3,131,34.2,female
38,group 3,131,35.2,female
39,group 3,131,32.7,female
40,group 3,131,33.6,female
41,group 3,131,36,female
42,group 3,131,34.8,female
43,group 3,131,35.4,female
44,group 3,131,38,female
45,group 3,131,38.2,female
46,group 3,131,38.6,female
47,group 3,131,38.6,female
48,group 3,131,40.5,female
49,group 3,131,39.5,female
50,group 3,131,40,female
51,group 3,131,41,female
52,group 3,131,41,female
53,group 3,131,40,female
54,group 3,131,41,female
55,group 3,131,40.6,female
56,group 3,131,35.4,female
57,group 3,131,39,female
58,group 3,131,39.5,female
59,group 3,131,37.5,female
60,group 3,131,38,female
61,group 3,131,37,female
62,group 3,131,37.4,female
63,group 3,131,38.2,female
64,group 3,131,39,female
65,group 3,131,36.3,female
66,group 3,131,36.9,female
67,group 3,131,37.2,female
68,group 3,131,38.8,female
69,group 3,131,36.6,female
70,group 3,131,37.9,female
71,group 3,131,38.7,female
72,group 3,131,37.5,female
73,group 3,131,34.2,female
1,group 3,132,15.6,female
2,group 3,132,17.9,female
3,group 3,132,19.1,female
4,group 3,132,18.7,female
5,group 3,132,19.9,female
6,group 3,132,20.4,female
7,group 3,132,21.4,female
8,group 3,132,22.6,female
9,group 3,132,21.3,female
10,group 3,132,22.3,female
11,group 3,132,23.2,female
12,group 3,132,24.2,female
13,group 3,132,23.9,female
14,group 3,132,22.7,female
15,group 3,132,24.8,female
16,group 3,132,23.3,female
17,group 3,132,24.9,female
18,group 3,132,25.7,female
19,group 3,132,24.6,female
20,group 3,132,26.3,female
21,group 3,132,28.3,female
22,group 3,132,27.5,female
23,group 3,132,26.9,female
24,group 3,132,27,female
25,group 3,132,26.1,female
26,group 3,132,26.9,female
27,group 3,132,28,female
28,group 3,132,26.8,female
29,group 3,132,27.3,female
30,group 3,132,26.5,female
31,group 3,132,27.5,female
32,group 3,132,28,female
33,group 3,132,26.9,female
34,group 3,132,28.1,female
35,group 3,132,27.9,female
36,group 3,132,27.3,female
37,group 3,132,27.8,female
38,group 3,132,29,female
39,group 3,132,27.6,female
40,group 3,132,28.2,female
41,group 3,132,29.3,female
42,group 3,132,28.3,female
43,group 3,132,30.6,female
44,group 3,132,31.8,female
45,group 3,132,32.4,female
46,group 3,132,31.5,female
47,group 3,132,33.4,female
48,group 3,132,34.7,female
49,group 3,132,32.2,female
50,group 3,132,33.9,female
51,group 3,132,35.3,female
52,group 3,132,35,female
53,group 3,132,35.5,female
54,group 3,132,33.6,female
55,group 3,132,35.2,female
56,group 3,132,32.6,female
57,group 3,132,34.8,female
58,group 3,132,32.8,female
59,group 3,132,33.7,female
60,group 3,132,35.6,female
61,group 3,132,32.9,female
62,group 3,132,32.8,female
63,group 3,132,34.3,female
64,group 3,132,34.2,female
65,group 3,132,32.7,female
66,group 3,132,32.5,female
67,group 3,132,33.5,female
68,group 3,132,33.6,female
69,group 3,132,32.3,female
70,group 3,132,34.9,female
71,group 3,132,34,female
72,group 3,132,32.7,female
73,group 3,132,30.5,female
1,group 3,133,14.1,female
2,group 3,133,16.3,female
3,group 3,133,17.1,female
4,group 3,133,18,female
5,group 3,133,19.3,female
6,group 3,133,18.9,female
7,group 3,133,20.6,female
8,group 3,133,22.1,female
9,group 3,133,21.6,female
10,group 3,133,23.4,female
11,group 3,133,22.9,female
12,group 3,133,23.8,female
13,group 3,133,24.5,female
14,group 3,133,26.1,female
15,group 3,133,23.3,female
16,group 3,133,25.4,female
17,group 3,133,26.7,female
18,group 3,133,24.8,female
19,group 3,133,22.9,female
1,group 3,134,12.9,female
2,group 3,134,16.4,female
3,group 3,134,18.2,female
4,group 3,134,18.8,female
5,group 3,134,20.4,female
6,group 3,134,19.2,female
7,group 3,134,21.6,female
8,group 3,134,21.6,female
9,group 3,134,24.3,female
10,group 3,134,23.5,female
11,group 3,134,23.9,female
12,group 3,134,25.8,female
13,group 3,134,26.8,female
14,group 3,134,25,female
15,group 3,134,24.6,female
16,group 3,134,24.5,female
17,group 3,134,25.8,female
18,group 3,134,24.6,female
19,group 3,134,27.5,female
20,group 3,134,28.4,female
21,group 3,134,30.1,female
22,group 3,134,30.5,female
23,group 3,134,28.7,female
24,group 3,134,28.1,female
25,group 3,134,29.9,female
26,group 3,134,29.7,female
27,group 3,134,28.1,female
28,group 3,134,29.1,female
29,group 3,134,28.4,female
30,group 3,134,27,female
31,group 3,134,28.6,female
32,group 3,134,28.7,female
33,group 3,134,28.8,female
34,group 3,134,27.5,female
35,group 3,134,28.8,female
36,group 3,134,29.9,female
37,group 3,134,28.4,female
38,group 3,134,28.6,female
39,group 3,134,29.1,female
40,group 3,134,30,female
41,group 3,134,29.5,female
42,group 3,134,30.1,female
43,group 3,134,33,female
44,group 3,134,34.7,female
45,group 3,134,34,female
46,group 3,134,35.8,female
47,group 3,134,37.6,female
48,group 3,134,35.2,female
49,group 3,134,35.1,female
50,group 3,134,37.4,female
51,group 3,134,36,female
52,group 3,134,34,female
53,group 3,134,34.9,female
54,group 3,134,34.4,female
55,group 3,134,34.6,female
56,group 3,134,24.4,female
57,group 3,134,34.5,female
58,group 3,134,32.8,female
59,group 3,134,33.4,female
60,group 3,134,33.8,female
61,group 3,134,32.2,female
62,group 3,134,30.3,female
63,group 3,134,32,female
64,group 3,134,31.8,female
65,group 3,134,29.7,female
66,group 3,134,27.4,female
67,group 3,134,27.8,female
68,group 3,134,27.5,female
69,group 3,134,32.3,female
70,group 3,134,26.8,female
71,group 3,134,27.6,female
72,group 3,134,28.9,female
73,group 3,134,26.6,female
1,group 3,135,15.8,female
2,group 3,135,17.7,female
3,group 3,135,18.6,female
4,group 3,135,20.4,female
5,group 3,135,20.2,female
6,group 3,135,21.6,female
7,group 3,135,23.1,female
8,group 3,135,24.7,female
9,group 3,135,24.3,female
10,group 3,135,26.5,female
11,group 3,135,26.6,female
12,group 3,135,27.9,female
13,group 3,135,26.1,female
14,group 3,135,28.8,female
15,group 3,135,26.2,female
16,group 3,135,27.3,female
17,group 3,135,27.2,female
18,group 3,135,29.1,female
19,group 3,135,31.2,female
20,group 3,135,28.1,female
21,group 3,135,30.8,female
22,group 3,135,30.1,female
23,group 3,135,28.6,female
24,group 3,135,30.6,female
25,group 3,135,29.7,female
26,group 3,135,28.7,female
27,group 3,135,31.6,female
28,group 3,135,31.4,female
29,group 3,135,30.9,female
30,group 3,135,29.6,female
31,group 3,135,31.7,female
32,group 3,135,30.4,female
33,group 3,135,32.1,female
34,group 3,135,32.8,female
35,group 3,135,31.2,female
36,group 3,135,33.6,female
37,group 3,135,34.8,female
38,group 3,135,33.6,female
39,group 3,135,33.4,female
40,group 3,135,36.3,female
41,group 3,135,35.7,female
42,group 3,135,37.4,female
43,group 3,135,39.4,female
44,group 3,135,40.5,female
45,group 3,135,39.3,female
46,group 3,135,40,female
47,group 3,135,42.8,female
48,group 3,135,40.6,female
49,group 3,135,40.2,female
50,group 3,135,41.1,female
51,group 3,135,40.3,female
52,group 3,135,40,female
53,group 3,135,38.5,female
54,group 3,135,40.1,female
55,group 3,135,38.6,female
56,group 3,135,33.7,female
57,group 3,135,38.4,female
58,group 3,135,36.6,female
59,group 3,135,36.4,female
60,group 3,135,35,female
61,group 3,135,31.3,female
62,group 3,135,30.3,female
63,group 3,135,27.1,female
64,group 3,135,22.5,female
1,group 3,136,14.6,female
2,group 3,136,17.1,female
3,group 3,136,17.9,female
4,group 3,136,18.6,female
5,group 3,136,19.5,female
6,group 3,136,20.4,female
7,group 3,136,20.3,female
8,group 3,136,21.3,female
9,group 3,136,22.6,female
10,group 3,136,23.2,female
11,group 3,136,22.1,female
12,group 3,136,23.3,female
13,group 3,136,23.3,female
14,group 3,136,25,female
15,group 3,136,23.4,female
16,group 3,136,24.4,female
17,group 3,136,25.7,female
18,group 3,136,24.6,female
19,group 3,136,25.7,female
20,group 3,136,25.7,female
21,group 3,136,25.3,female
22,group 3,136,27.4,female
23,group 3,136,25.2,female
24,group 3,136,25.5,female
25,group 3,136,27.3,female
26,group 3,136,27.2,female
27,group 3,136,26.5,female
28,group 3,136,27.5,female
29,group 3,136,27.3,female
30,group 3,136,25.7,female
31,group 3,136,26.9,female
32,group 3,136,25.8,female
33,group 3,136,26.5,female
34,group 3,136,27.6,female
35,group 3,136,26.4,female
36,group 3,136,26.9,female
37,group 3,136,27.9,female
38,group 3,136,28.1,female
39,group 3,136,28.4,female
40,group 3,136,29.4,female
41,group 3,136,28.9,female
42,group 3,136,28.6,female
43,group 3,136,30.9,female
44,group 3,136,32.3,female
45,group 3,136,31.7,female
46,group 3,136,32.6,female
47,group 3,136,34.3,female
48,group 3,136,34.5,female
49,group 3,136,33.3,female
50,group 3,136,34.7,female
51,group 3,136,35.9,female
52,group 3,136,35,female
53,group 3,136,35,female
54,group 3,136,35.1,female
55,group 3,136,32.4,female
56,group 3,136,27.6,female
57,group 3,136,31.1,female
58,group 3,136,30.2,female
59,group 3,136,29.9,female
60,group 3,136,30.5,female
61,group 3,136,30.5,female
62,group 3,136,29.9,female
63,group 3,136,28.6,female
64,group 3,136,29.3,female
65,group 3,136,28.2,female
66,group 3,136,26.3,female
67,group 3,136,29.5,female
68,group 3,136,29.1,female
69,group 3,136,30.8,female
70,group 3,136,26.4,female
71,group 3,136,27.9,female
72,group 3,136,27.7,female
73,group 3,136,25.8,female
1,group 3,137,17.9,female
2,group 3,137,20,female
3,group 3,137,20.6,female
4,group 3,137,22.9,female
5,group 3,137,22.5,female
6,group 3,137,23.5,female
7,group 3,137,25.5,female
8,group 3,137,26.7,female
9,group 3,137,26.8,female
10,group 3,137,27.7,female
11,group 3,137,25.7,female
12,group 3,137,29.8,female
13,group 3,137,29.6,female
14,group 3,137,29.6,female
15,group 3,137,28.6,female
16,group 3,137,31.7,female
17,group 3,137,30.4,female
18,group 3,137,29.2,female
19,group 3,137,33.4,female
20,group 3,137,32.8,female
21,group 3,137,31.8,female
22,group 3,137,31.8,female
23,group 3,137,32.2,female
24,group 3,137,31.5,female
25,group 3,137,32.9,female
26,group 3,137,33.7,female
27,group 3,137,32.8,female
28,group 3,137,33.3,female
29,group 3,137,32.9,female
30,group 3,137,33.5,female
31,group 3,137,35.2,female
32,group 3,137,33.8,female
33,group 3,137,34.4,female
34,group 3,137,36,female
35,group 3,137,36.2,female
36,group 3,137,34.5,female
37,group 3,137,35.8,female
38,group 3,137,37.3,female
39,group 3,137,36.9,female
40,group 3,137,35.4,female
41,group 3,137,36.7,female
42,group 3,137,39,female
43,group 3,137,39.5,female
44,group 3,137,38.8,female
45,group 3,137,40.6,female
46,group 3,137,41.6,female
47,group 3,137,43.1,female
48,group 3,137,41.2,female
49,group 3,137,41.9,female
50,group 3,137,42.7,female
51,group 3,137,42.3,female
52,group 3,137,43,female
53,group 3,137,43.6,female
54,group 3,137,42.4,female
55,group 3,137,42.7,female
56,group 3,137,38.8,female
57,group 3,137,41.5,female
58,group 3,137,42.4,female
59,group 3,137,42.8,female
60,group 3,137,42.1,female
61,group 3,137,37.5,female
62,group 3,137,40.5,female
63,group 3,137,39.9,female
64,group 3,137,39.9,female
65,group 3,137,38.9,female
66,group 3,137,38,female
67,group 3,137,38.3,female
68,group 3,137,30.1,female
69,group 3,137,48.2,female
70,group 3,137,38.3,female
71,group 3,137,36.6,female
72,group 3,137,38.2,female
73,group 3,137,35.2,female
1,group 3,138,17.8,female
2,group 3,138,20.3,female
3,group 3,138,21.4,female
4,group 3,138,23.6,female
5,group 3,138,22.8,female
6,group 3,138,23.9,female
7,group 3,138,26,female
8,group 3,138,28.4,female
9,group 3,138,26.8,female
10,group 3,138,28.9,female
11,group 3,138,28,female
12,group 3,138,28.3,female
13,group 3,138,26.1,female
14,group 3,138,28.6,female
15,group 3,138,27.9,female
16,group 3,138,28,female
17,group 3,138,29.8,female
18,group 3,138,30.3,female
19,group 3,138,30.4,female
20,group 3,138,31.2,female
21,group 3,138,32.5,female
22,group 3,138,33.7,female
23,group 3,138,32,female
24,group 3,138,30.1,female
25,group 3,138,32.8,female
26,group 3,138,33.8,female
27,group 3,138,32.1,female
28,group 3,138,33,female
29,group 3,138,32.1,female
30,group 3,138,31.6,female
31,group 3,138,34.4,female
32,group 3,138,34.1,female
33,group 3,138,32.5,female
34,group 3,138,36.2,female
35,group 3,138,37.1,female
36,group 3,138,37.1,female
37,group 3,138,39.3,female
38,group 3,138,39.5,female
39,group 3,138,38.2,female
40,group 3,138,40.7,female
41,group 3,138,41.7,female
42,group 3,138,41.2,female
43,group 3,138,43.3,female
44,group 3,138,45.1,female
45,group 3,138,47,female
46,group 3,138,47.2,female
47,group 3,138,48.2,female
48,group 3,138,49.4,female
49,group 3,138,47.1,female
50,group 3,138,46.1,female
51,group 3,138,49.2,female
52,group 3,138,49,female
53,group 3,138,52.9,female
54,group 3,138,50,female
55,group 3,138,49.2,female
56,group 3,138,45.6,female
57,group 3,138,49.2,female
58,group 3,138,48.9,female
59,group 3,138,49.2,female
60,group 3,138,50.8,female
61,group 3,138,42,female
1,group 3,139,15.6,female
2,group 3,139,18.2,female
3,group 3,139,18.4,female
4,group 3,139,19.8,female
5,group 3,139,21.6,female
6,group 3,139,21.8,female
7,group 3,139,21.1,female
8,group 3,139,24.1,female
9,group 3,139,26.1,female
10,group 3,139,24.6,female
11,group 3,139,23.6,female
12,group 3,139,28.2,female
13,group 3,139,26.2,female
14,group 3,139,27.5,female
15,group 3,139,28,female
16,group 3,139,26.4,female
17,group 3,139,27.6,female
18,group 3,139,27.9,female
19,group 3,139,27,female
20,group 3,139,27.8,female
21,group 3,139,28,female
22,group 3,139,26.7,female
23,group 3,139,27.5,female
24,group 3,139,28.6,female
25,group 3,139,27.2,female
26,group 3,139,29.8,female
27,group 3,139,28.5,female
28,group 3,139,30.9,female
29,group 3,139,29.5,female
30,group 3,139,29.8,female
31,group 3,139,29.5,female
32,group 3,139,30.8,female
33,group 3,139,31.6,female
34,group 3,139,30.6,female
35,group 3,139,31.7,female
36,group 3,139,32.1,female
37,group 3,139,29.7,female
38,group 3,139,32.1,female
39,group 3,139,30.5,female
40,group 3,139,31.5,female
41,group 3,139,30.9,female
42,group 3,139,32.5,female
43,group 3,139,34.7,female
44,group 3,139,33.9,female
45,group 3,139,37,female
46,group 3,139,38.1,female
47,group 3,139,36.1,female
48,group 3,139,36.5,female
49,group 3,139,37.5,female
50,group 3,139,37.8,female
51,group 3,139,36.5,female
52,group 3,139,42,female
53,group 3,139,38.1,female
54,group 3,139,39,female
55,group 3,139,36.8,female
56,group 3,139,35.4,female
57,group 3,139,36.8,female
58,group 3,139,38.4,female
59,group 3,139,36.9,female
60,group 3,139,36.2,female
61,group 3,139,36.2,female
62,group 3,139,38.3,female
63,group 3,139,35.3,female
64,group 3,139,36,female
65,group 3,139,35.8,female
66,group 3,139,35.9,female
67,group 3,139,34.9,female
68,group 3,139,32.8,female
69,group 3,139,44.1,female
70,group 3,139,33.5,female
71,group 3,139,32.8,female
72,group 3,139,30.9,female
73,group 3,139,30.8,female
1,group 3,140,15.5,female
2,group 3,140,18.2,female
3,group 3,140,18.9,female
4,group 3,140,20,female
5,group 3,140,21.5,female
6,group 3,140,21.6,female
7,group 3,140,22.5,female
8,group 3,140,22.1,female
9,group 3,140,24.1,female
10,group 3,140,23,female
11,group 3,140,23.6,female
1,group 3,141,15.6,female
2,group 3,141,18.8,female
3,group 3,141,18.5,female
4,group 3,141,20.1,female
5,group 3,141,20.2,female
6,group 3,141,20.4,female
7,group 3,141,20,female
8,group 3,141,22.1,female
9,group 3,141,22.4,female
10,group 3,141,22,female
11,group 3,141,22,female
12,group 3,141,23,female
13,group 3,141,21.6,female
14,group 3,141,22.2,female
15,group 3,141,23.6,female
16,group 3,141,24.3,female
17,group 3,141,23.5,female
18,group 3,141,23.8,female
19,group 3,141,26.2,female
20,group 3,141,24.7,female
21,group 3,141,25.8,female
22,group 3,141,27.4,female
23,group 3,141,27.1,female
24,group 3,141,26.1,female
25,group 3,141,25,female
26,group 3,141,26.2,female
27,group 3,141,28.2,female
28,group 3,141,26.9,female
29,group 3,141,26.3,female
30,group 3,141,27.4,female
31,group 3,141,26.5,female
32,group 3,141,27.4,female
33,group 3,141,27.6,female
34,group 3,141,26.6,female
35,group 3,141,27.2,female
36,group 3,141,27.3,female
37,group 3,141,26.9,female
38,group 3,141,26.8,female
39,group 3,141,25.8,female
40,group 3,141,26.4,female
41,group 3,141,26.5,female
42,group 3,141,27.9,female
43,group 3,141,26.3,female
44,group 3,141,25,female
45,group 3,141,25.7,female
46,group 3,141,26.2,female
47,group 3,141,27.4,female
48,group 3,141,26.7,female
49,group 3,141,26.8,female
50,group 3,141,26.9,female
51,group 3,141,26.5,female
52,group 3,141,26,female
53,group 3,141,27,female
54,group 3,141,27.8,female
55,group 3,141,26.5,female
56,group 3,141,24.6,female
57,group 3,141,27.5,female
58,group 3,141,28.4,female
59,group 3,141,29.8,female
60,group 3,141,28.8,female
61,group 3,141,28.7,female
62,group 3,141,28.5,female
63,group 3,141,28.3,female
64,group 3,141,28.8,female
65,group 3,141,29,female
66,group 3,141,29.1,female
67,group 3,141,28.5,female
68,group 3,141,30.1,female
69,group 3,141,27.7,female
70,group 3,141,27.6,female
71,group 3,141,27.3,female
72,group 3,141,28.4,female
73,group 3,141,26.3,female
1,group 3,142,16.2,female
2,group 3,142,18.9,female
3,group 3,142,18.9,female
4,group 3,142,20.3,female
5,group 3,142,21.4,female
6,group 3,142,22.3,female
7,group 3,142,21.7,female
8,group 3,142,24.7,female
9,group 3,142,26.8,female
10,group 3,142,25.3,female
11,group 3,142,26.1,female
12,group 3,142,26.3,female
13,group 3,142,26.9,female
14,group 3,142,25.5,female
15,group 3,142,28,female
16,group 3,142,26.9,female
17,group 3,142,28,female
18,group 3,142,26.9,female
19,group 3,142,30,female
20,group 3,142,31.2,female
21,group 3,142,30.1,female
22,group 3,142,33.3,female
23,group 3,142,30.9,female
24,group 3,142,32.2,female
25,group 3,142,33.7,female
26,group 3,142,32.9,female
27,group 3,142,34.6,female
28,group 3,142,34.4,female
29,group 3,142,33.7,female
30,group 3,142,31.5,female
31,group 3,142,33.8,female
32,group 3,142,34.8,female
33,group 3,142,33.2,female
34,group 3,142,35.4,female
35,group 3,142,36.5,female
36,group 3,142,35.1,female
37,group 3,142,35.8,female
38,group 3,142,36.8,female
39,group 3,142,35.1,female
40,group 3,142,35.9,female
41,group 3,142,37,female
42,group 3,142,37.1,female
43,group 3,142,37.4,female
44,group 3,142,38.2,female
45,group 3,142,40.2,female
46,group 3,142,40.9,female
47,group 3,142,41.3,female
48,group 3,142,39.9,female
49,group 3,142,39.7,female
50,group 3,142,38.6,female
51,group 3,142,39.5,female
52,group 3,142,39,female
53,group 3,142,38.8,female
54,group 3,142,39.2,female
55,group 3,142,40,female
56,group 3,142,35.4,female
57,group 3,142,36.7,female
58,group 3,142,38.6,female
59,group 3,142,40.5,female
60,group 3,142,37.5,female
61,group 3,142,35,female
62,group 3,142,34.7,female
63,group 3,142,36.8,female
64,group 3,142,36.9,female
65,group 3,142,36.5,female
66,group 3,142,36.1,female
67,group 3,142,35.5,female
68,group 3,142,36.8,female
69,group 3,142,33.8,female
70,group 3,142,33.2,female
71,group 3,142,32.5,female
72,group 3,142,32.6,female
73,group 3,142,32.1,female
1,group 3,143,15.6,female
2,group 3,143,18.6,female
3,group 3,143,18,female
4,group 3,143,19.4,female
5,group 3,143,20.1,female
6,group 3,143,20.2,female
7,group 3,143,20,female
8,group 3,143,22.3,female
9,group 3,143,23.3,female
10,group 3,143,21.9,female
11,group 3,143,22.5,female
12,group 3,143,24.1,female
13,group 3,143,25.2,female
14,group 3,143,22.9,female
15,group 3,143,23.9,female
16,group 3,143,24.8,female
17,group 3,143,23.5,female
18,group 3,143,24.6,female
19,group 3,143,24.3,female
20,group 3,143,25.9,female
21,group 3,143,26.6,female
22,group 3,143,26,female
23,group 3,143,27.4,female
24,group 3,143,26.4,female
25,group 3,143,26.5,female
26,group 3,143,25.7,female
27,group 3,143,27.5,female
28,group 3,143,29.2,female
29,group 3,143,27.4,female
30,group 3,143,26.2,female
31,group 3,143,28.8,female
32,group 3,143,29.3,female
33,group 3,143,27.6,female
34,group 3,143,28.3,female
35,group 3,143,27.8,female
36,group 3,143,28.4,female
37,group 3,143,29.7,female
38,group 3,143,30.1,female
39,group 3,143,27.7,female
40,group 3,143,29,female
41,group 3,143,31,female
42,group 3,143,30.4,female
43,group 3,143,29.8,female
44,group 3,143,34.7,female
45,group 3,143,31.1,female
46,group 3,143,32.5,female
47,group 3,143,33.3,female
48,group 3,143,32.1,female
49,group 3,143,31.8,female
50,group 3,143,30.8,female
51,group 3,143,32.5,female
52,group 3,143,30,female
53,group 3,143,32.2,female
54,group 3,143,33.2,female
55,group 3,143,31.4,female
56,group 3,143,28.2,female
57,group 3,143,29.6,female
58,group 3,143,31.7,female
59,group 3,143,32.8,female
60,group 3,143,29.3,female
61,group 3,143,29.9,female
62,group 3,143,29,female
63,group 3,143,29.4,female
64,group 3,143,29.5,female
65,group 3,143,29.1,female
66,group 3,143,29,female
67,group 3,143,29.8,female
68,group 3,143,32.1,female
69,group 3,143,28.5,female
1,group 3,144,14.2,female
2,group 3,144,17.7,female
3,group 3,144,18,female
4,group 3,144,19.3,female
5,group 3,144,19.4,female
6,group 3,144,20.2,female
7,group 3,144,21.9,female
8,group 3,144,22,female
9,group 3,144,24.1,female
10,group 3,144,23.2,female
11,group 3,144,24.1,female
12,group 3,144,25.5,female
13,group 3,144,24.4,female
14,group 3,144,26,female
15,group 3,144,27.3,female
16,group 3,144,25.8,female
17,group 3,144,28.1,female
18,group 3,144,26.8,female
19,group 3,144,28.7,female
20,group 3,144,29.7,female
21,group 3,144,28.4,female
22,group 3,144,31.1,female
23,group 3,144,30.3,female
24,group 3,144,29.2,female
25,group 3,144,30.9,female
26,group 3,144,29.7,female
27,group 3,144,31.2,female
28,group 3,144,31.5,female
29,group 3,144,31.1,female
30,group 3,144,30,female
31,group 3,144,31.9,female
32,group 3,144,32.5,female
33,group 3,144,30.8,female
34,group 3,144,32.6,female
35,group 3,144,33.9,female
36,group 3,144,31.8,female
37,group 3,144,33.2,female
38,group 3,144,34.2,female
39,group 3,144,31.5,female
40,group 3,144,35.1,female
41,group 3,144,34.3,female
42,group 3,144,33.6,female
43,group 3,144,33.5,female
44,group 3,144,34.8,female
45,group 3,144,35,female
46,group 3,144,33.5,female
47,group 3,144,36,female
48,group 3,144,34.4,female
49,group 3,144,32.4,female
50,group 3,144,34,female
51,group 3,144,32.9,female
52,group 3,144,33,female
53,group 3,144,34.2,female
54,group 3,144,33.8,female
55,group 3,144,32.4,female
56,group 3,144,28.7,female
57,group 3,144,33,female
58,group 3,144,31.4,female
59,group 3,144,33.6,female
60,group 3,144,31.4,female
